word or phrase,translation
団員,group member
段階,"stage, step, phase, level, rank, grade, gradation, order, stairs"
団塊,"mass, lump, clod, clump, nodule, baby boom generation (of 1947-1949), babyboomer (born between 1947-1949)"
弾劾,"impeachment, denunciation, accusation, censure, arraignment"
断崖,"precipice, cliff, bluff"
弾丸,"bullet, shot, shell"
談義,"(informal) discussion, talk, conversation, chat, (formal and tedious) talk, lecture, sermon, admonition, reprimand, sermon, preaching, consultation, conference, discussion"
団結,"unity, union, solidarity, combination, teaming up"
断言,"assertion, declaration, affirmation"
断固,"firm, determined, resolute, conclusive"
団交,collective bargaining
断行,"decisive action, carrying out, resolute enforcement, execution"
断交,breaking off relations (esp. between countries)
弾痕,"bullet hole, bullet mark"
団子,"dango, dumpling (usu. sweet), doughboy, ball-shaped object, something round, lump, group, bunch, knot, tight crowd"
談合,"bid rigging, collusion (on contract bidding), (illegal) price-fixing agreement, consultation, discussion, conference"
断罪,"judgment (of a crime), conviction, condemnation, beheading, decapitation"
男子,"boy, man, male"
男爵,"baron, Irish cobbler (variety of potato)"
談笑,"friendly chat, pleasant chat, lighthearted talk, friendly conversation"
男児,"boy, son, man"
断食,"fasting, fast"
断じて,"absolutely, positively, decidedly"
男女,"men and women, man and woman, both sexes, both genders"
壇上,"on a stage, on a platform, on an altar"
男女同権,equal rights among men and women
断水,"suspension of water supply, water outage"
弾性,elasticity
男性,"man, male, masculine gender"
男声,male voice
男性的,manly
断絶,"extinction (e.g. of a family), dying out, discontinuation, severance (e.g. of relations), rupture, breaking off, (generation) gap"
断然,"firmly, flatly, resolutely, decisively, absolutely, definitely, definitely (wrong, different, etc.), absolutely, by far, far and away, by a long shot, hands down"
男装,"disguising oneself as a man, dressing as a man (for a woman), male clothing"
断層,"fault, dislocation, gap, discrepancy"
男尊女卑,"male domination of women, male chauvinism, subjection of women"
断続,"intermittence, being intermittent, occurring intermittently"
団体,"group, party, team, organization, organisation, association, group, body, society"
団体交渉,collective bargaining
段々,"gradually, by degrees, little by little, more and more, increasingly, steps, stairs, staircase, terrace"
暖地,"warm district, region of mild climate"
団地,"multi-unit apartments, apartment complex"
段違い,"wildly different (in ability, strength, etc.), on another level, in a different league, a world apart, far better, of different heights, uneven"
団長,"leader of a delegation (body, party)"
断腸,"heartbreak, grief, sorrow"
断定,"conclusion, decision, judgement, declaration, affirmative"
弾頭,warhead
暖冬,"mild winter, warm winter"
弾道,"trajectory, line of fire, ballistic"
段取り,"programme, program, plans, arrangements"
旦那,"master (of a house, shop, etc.), husband, sir, boss, master, governor, patron of a mistress, geisha, bar or nightclub hostess, sugar daddy, alms, almsgiving, almsgiver"
断熱,insulation
断念,"abandoning (hope, plans), giving up"
断髪,"cutting of hair (to a short length), haircutting, bobbed hair, bob"
断片,"fragment, scrap, piece, shred"
断片的,fragmentary
暖房,(indoor) heating
断末魔,"ones last moments, hour of death, death throes, agonies of death"
断面,"section, cross section, profile"
弾薬,"ammunition, ammo"
男優,(male) actor
段落,"paragraph, end, stopping place, conclusion"
暖流,warm current
弾力,"elasticity, flexibility"
暖炉,"fireplace, hearth, stove"
談論,discussion
談話,"talk, conversation, dialogue, informal expression of opinion, off-the-cuff remarks, comment, discourse"
談話室,"lounge, common room"
断トツ,"far and away the best, the very best, cream of the crop, crème de la crème, decisive lead, commanding lead"
段ボール,(corrugated) cardboard
血,"blood, blood, ancestry, lineage, stock, (the) blood, feelings, passions"
地,"earth, ground, land, soil, place, territory, bottom (of a package, book, etc.), earth (one of the five elements)"
治安,"public order, public peace, public security, law and order"
地位,"(social) position, status, standing, position (in a company, organization, etc.), post, rank"
地域,"area, region, district, locality"
地域社会,regional community
知育,intellectual training
小さい,"small, little, tiny, slight, below average (in degree, amount, etc.), minor, small, low (e.g. sound), soft (e.g. voice), unimportant, petty, insignificant, trifling, trivial, young, juvenile"
小さい頃,"as a child, when one was a child"
小さな,"small, little, tiny"
知恵,"wisdom, wit, sagacity, sense, intelligence, prajna (insight leading to enlightenment)"
知恵遅れ,mental retardation
知恵袋,"all ones wisdom, bag (full) of wisdom, the brains (of a group), the smart one, fount of wisdom, personal adviser"
遅延,"delay, latency"
地縁,"territorial relationship, regional bond"
地価,the price of land
地下,"underground, below the ground, world of the dead, the grave, underground (activities, movement, etc.), secret, illegal, in hiding"
近い,"near, close, short (distance), close (in time), soon, close (relationship), friendly, intimate, closely related, similar, almost the same, close to, nearly"
誓い,"oath, vow"
誓う,"to swear, to vow, to take an oath, to pledge"
知覚,"perception, sensation, awareness"
近く,"near, neighbourhood, neighborhood, vicinity, nearly (e.g. it took nearly one year), close to, shortly, soon"
地殻,(Earths) crust
地殻変動,"diastrophism (movement and deformation of the earths crust), upheaval (e.g. in politics), seismic shift, earthshaking changes"
近頃,"lately, recently, nowadays, terribly, awfully, extremely"
地下資源,underground resources
地下室,"cellar, basement"
地下水,underground water
近々,"soon, before long, shortly, in the near future, close (by), near, nearby"
誓って,"surely, upon my word, by Jove, (with neg) by no means, never"
近づき,"acquaintance, making someones acquaintance"
近づく,"to approach, to draw near, to get close, to get acquainted with, to get closer to, to get to know"
近づける,"to bring near, to bring close, to let go near, to associate with, to bring (people) together, to let come near (of a person)"
地下鉄,"subway, metro, underground (railway)"
地下道,subterranean tunnel
近道,"shorter way, shortcut"
近寄せる,"to bring close, to bring near, to associate with (someone), to keep company with, to let come close"
近寄る,"to approach, to draw near"
力,"force, strength, might, vigour, vigor, energy, capability, ability, proficiency, capacity, faculty, efficacy, effect, effort, endeavours, endeavors, exertions, power, authority, influence, good offices, agency, support, help, aid, assistance, stress, emphasis, means, resources"
力いっぱい,"with all ones strength, with might and main, as hard as one can"
力仕事,"physical work, manual labour (labor)"
力添え,"help, assistance, service"
力試し,"test of ones strength, test of ones ability"
力強い,"powerful, strong, forceful, vigorous, reassuring, encouraging"
力負け,"losing by being overmatched, being defeated by a stronger opponent, losing by misusing ones powers, defeat as a result of trying too hard"
力水,water offered to wrestlers just prior to a bout
力持ち,"muscleman, strong man"
痴漢,"molester, groper, masher, pervert, fool, idiot"
違い,"difference, distinction, discrepancy, mistake, error"
違いない,"sure, no mistaking it, for certain, without doubt"
治外法権,extraterritoriality
違う,"to differ (from), to be different, to be distinct, to be unlike, to vary, to disagree (with), to be wrong, to be incorrect, to be mistaken, to become abnormal, to go wrong, isnt it?, wasnt it?"
地学,"earth science, geoscience"
知己,"acquaintance, appreciative friend"
地球,"Earth, the globe"
地球温暖化,global warming
地球儀,"Earth globe (model), terrestrial globe"
地球上,on Earth
稚魚,"fry, juvenile fish, fingerling"
千切る,"to tear to pieces, to tear to shreds, to tear up, to pick (e.g. fruit), to pluck, to tear off, to do ... heavily, to do ... heartily, to do ... vigorously"
千切れる,"to be torn off, to come off, to be torn to pieces, to be torn to shreds"
地区,"district, section, sector"
逐一,"one by one, in detail, minutely"
蓄音機,"gramophone, phonograph"
畜産,"animal husbandry, livestock industry"
蓄財,amassing of wealth
畜生,"damn it, damn, son of a bitch, for Christs sake, beast, animal, person reborn into the animal realm, brute, bastard"
逐次,"successively, one after another, sequentially, one by one"
築城,"castle construction, building a castle, fortification"
蓄積,"accumulation, accumulate, store"
築造,"construction, building"
蓄電池,storage battery
乳首,"nipple, teat"
ちくり,"prickling, stinging, biting, tale-telling, tattling"
竹林,"bamboo thicket, bamboo grove"
千草,"great variety of flowering plants, light greenish-blue, various"
ちぐはぐ,"mismatched, odd, irregular, inconsistent, incoherent, confused"
地形,"terrain, geographical features, topography"
治験,clinical trial
知見,"expertise, experience, knowledge"
地検,District Public Prosecutors Office
遅刻,"lateness, tardiness, arriving late"
地裁,district court
治山,"forest conservation, afforestation"
地誌,topography
致死,"lethal, fatal"
知識,"knowledge, information"
知識人,intellectual
地質,geological features
地質学,geology
千島,Kurile Islands
千島列島,Kurile Islands
致死量,lethal dose
知事,prefectural governor
地磁気,"geomagnetism, terrestrial magnetism"
地上,"above ground, on the ground, earths surface, this world, this earth"
恥辱,"disgrace, shame, insult"
知人,"friend, acquaintance"
治水,"river management, river improvement, flood control"
血筋,"lineage, stock, descent, strain, blood relationship"
地図,"map, atlas, chart, plan"
知性,intelligence
地勢,topography
稚拙,"unskillful, childish, immature, naive, artless, clumsy, crude"
地層,"stratum, geological formation, layer, bed (coal, gravel, etc.)"
遅滞,"delay, procrastination"
地帯,"zone, area, belt, region"
地代,land rent
遅々,"slow, lagging, tardy"
乳,"milk, breast, loop, decorative bump (on a hanging bell)"
父,father
父親,father
父方,"fathers side of family, paternal (grandfather, uncle, etc.)"
父の日,Fathers Day (3rd Sunday of June)
地中,"in the ground, in the earth, underground, subterranean"
地中海,"Mediterranean Sea, Mediterranean sea (oceanography)"
縮まる,"to shorten, to narrow, to close, to shrink"
縮み,"shrinkage, cotton crepe"
縮む,"to shrink, to contract, to diminish (in size)"
縮める,"to shorten, to reduce, to condense, to shrink, to crumple (fabric), to wrinkle, to make (ones body) smaller, to draw in (ones legs), to duck (ones head)"
縮れる,"to be wavy, to be curled, to be frizzled"
窒素,nitrogen (N)
窒息,"suffocation, choking, asphyxia"
些とも,"(not) at all, (not) a bit, (not) in the least, (not) in the slightest"
秩序,"order, discipline, regularity, system, method"
地底,depths of the earth
知的,intellectual
地点,"site, point on a map, spot"
千鳥,plover
因みに,"by the way, in this connection, incidentally, in passing"
知日,"being knowledgeable about Japan, being well versed in Japanese affairs"
地熱,"geothermal energy, terrestrial heat"
知能,"intelligence, intellect, brains"
知能指数,"intelligence quotient, IQ"
知能犯,"intellectual crime, white-collar crime, intellectual criminal, smart criminal"
血の海,"sea of blood, pool of blood"
血の気,"blood (in ones face, cheeks, etc.), colour, color, hot-bloodedness, hotheadedness, impulsive temperament"
地の利,"locational advantage, advantageous position"
遅配,delay in rationing
千葉,"Chiba (city, prefecture)"
地表,"surface of the earth, ground surface"
禿び,"small child, pipsqueak, small fry, small, cute versions of manga, anime, etc. characters, typically with oversized heads, short person, midget, dwarf, small animal, runt, worn down (pencil, etc.)"
乳房,"breast, udder"
地平,"level ground, horizon, field of view"
地平線,horizon (related to land)
地方,"district, region, area, locality, the country, countryside, the provinces, rural area, civilian society"
痴呆,dementia
地方議会,local assembly
地方行政,local administration
地方公共団体,"local public body, local government"
地方公務員,"local government employee, local civil servant"
地方裁判所,"district court, local court"
痴呆症,dementia
地方自治,local (governmental) autonomy
地方自治体,"local authority, local government, locality, local self-governing body, municipality"
地方税,"local tax, council tax"
地方団体,local public body
地方版,local edition
地方分権,"decentralization of power, decentralisation of power"
巷,"the public, the street (e.g. word on the street), street, district, quarters, location (e.g. of a battle), scene (e.g. of carnage), divide (e.g. between life and death), fork (in a road), crossroads"
血眼,"bloodshot eyes, (doing something in a) frenzy"
緻密,"fine (grain, workmanship, etc.), close (weave), delicate, intricate, elaborate, precise, accurate, careful, meticulous, close (e.g. observation), minute, elaborate (e.g. plan)"
致命,fatal
知名,well-known
地名,"place name, toponym"
致命傷,fatal wound
致命的,"fatal, lethal"
茶,"tea, tea plant (Camellia sinensis), tea preparation, making tea, brown, mockery"
茶色,"brown, light brown, tawny"
ちゃう,"no, thats wrong, its not like that, isnt it?, wasnt it?"
ちゃう,"to do completely, to do accidentally, to do without meaning to, to happen to do"
ちゃうか,isnt it?
茶会,"tea party, get-together, tea ceremony"
茶褐色,"dark reddish-brown, liver color"
着,"arrival, arriving at ..., counter for items or suits of clothing, nth place (in a race), counter for moves"
着衣,"clothes (that one is wearing), wearing clothes"
着岸,"reaching the shore, docking a boat"
着座,taking a seat
嫡子,legitimate child
着手,"starting work (on), setting to work (on), setting about (doing), beginning, commencing, embarking on, commencing (a crime)"
嫡出,legitimate birth
着床,implantation (of an embryo)
着色,"colouring, coloring, colorant"
着信,"arrival (of post, news, correspondence, etc.), receiving (a phone call, email, etc.)"
着実,"steady, sound, solid, reliable, trustworthy"
着水,"landing on water, hitting the water, splashdown"
着席,"taking a seat, sitting down (in ones seat)"
着想,"conception, idea"
着脱,"attaching and detaching, putting on and removing"
着弾,"impact (of a projectile), landing (of a bullet), striking"
着地,landing
着々,steadily
着任,taking up a new post
着服,"embezzlement, misappropriation, pocketing, dressing oneself, putting on clothes"
着目,"attention, giving ones attention, focusing"
着用,"wearing (e.g. a uniform, seat belt, helmet), having on"
着陸,"landing, alighting, touch down"
茶室,"tearoom, tea house, tea-ceremony room, tea arbour, tea arbor"
着火,"ignition, catching fire, setting on fire"
着工,starting (construction) work
茶漬け,"chazuke, cooked rice with green tea poured on it"
茶の間,(Japanese-style) living room
茶の湯,"tea ceremony, chanoyu"
茶番,"farce, charade, person who serves tea, short and humorous improvised sketch (originating from Edo-era kabuki)"
茶屋,"teahouse, (Edo period) rest stop, (geisha) teahouse, establishment where patrons are entertained by geisha, tea house (that sells tea), tea dealer"
茶碗,"rice bowl, tea cup, teacup"
ちゃん,suffix for familiar person
ちゃんと,"diligently, seriously, earnestly, reliably, steadily, legitimately, perfectly, properly, exactly, orderly, punctually, regularly, safely, in good condition, sufficiently, satisfactorily, quickly"
注,"annotation, explanatory note, comment"
宙,"space, air, midair, (from) memory, (by) heart"
中,"medium (size), average (grade, level, etc.), middle, in, within, out of (e.g. ten people), among, during, while, in (the course of), within (a period), throughout, currently (doing), in the process of, in the middle of, under (e.g. construction, investigation), middle way, moderation, second volume (of three), junior high school, middle school, China"
注意,"attention, notice, heed, care, caution, precaution, looking out (for), watching out (for), advice, warning, caution, reminder, admonishment, reprimand, telling-off"
中位,"medium, mediocrity, average"
中尉,"first lieutenant, lieutenant junior grade"
注意深い,"attentive, cautious, careful, watchful"
注意報,"warning (e.g. for a storm), advisory"
中越,"Chūetsu (region in Niigata), China and Vietnam, Sino-Vietnamese"
中欧,Central Europe
中央,"centre, center, middle, heart, capital, seat of government"
中央集権,"centralized authoritarian rule, centralised authoritarian rule"
中華,"China, Chinese food"
仲介,"agency, intermediation"
中華街,Chinatown
中核,"kernel, core, nucleus, center, centre"
中華人民共和国,Peoples Republic of China
中華鍋,"wok, Chinese frying pan"
中華民国,"Republic of China (Taiwan), ROC"
中華料理,"Chinese cooking, Chinese food"
中間,"middle, midway, halfway, centre, center, middle position, moderate position, neutral position, middle-of-the-road position, interim, intermediary, intermediate, midterm"
中間色,"intermediate color, intermediate colour, neutral color or tint, neutral colour"
中間配当額,interim dividends
宙返り,"somersault, looping-the-loop"
中学,"junior high school, middle school, lower secondary school"
中学生,"junior high school student, middle school pupil"
中型,medium size
中学校,"junior high school, middle school, lower secondary school"
中期,"middle period, medium-term"
中規模,"mid-range, mid-scale, mid-size"
中級,intermediate level
中共,"Chinese Communist Party, Chinese Communists, Communist China"
中京,Nagoya
中距離,"middle-distance (races), intermediate-range (missile)"
中距離核戦力,intermediate-range nuclear forces
忠義,"loyalty, devotion"
中空,"hollow, mid-air, air, sky"
中継,"relay, hook-up, relay broadcasting"
中継局,"relay station, translator station"
中堅,"nucleus, backbone, mainstay, key figure, medium-level, mid-level, middle-ranking, midsize, main body (of troops), crack troops, select troops, center field, centre field, center fielder, centre fielder, athlete competing in the middle-number match in a team competition, i.e. second in 3-on-3, third in 5-on-5 (kendo, judo, etc.)"
忠犬,faithful dog
中原,"middle of a field, middle of a country, field of contest"
中元,"15th day of the 7th lunar month, (last day of) Bon lantern festival, mid-year gift, summer gift, Bon Festival gifts"
中古,"used, second-hand, old, Middle Ages (in Japan esp. Heian period)"
中興,"restoration, revival, resurgence"
中高,"middle and high school, medium and high (level)"
忠孝,loyalty and filial piety
忠告,"advice, warning"
中古車,"used car, secondhand car"
中古品,"secondhand article, secondhand goods, used item"
忠魂,"loyalty, the loyal dead"
中国,"China, Chūgoku region (western part of Honshu comprising the prefectures of Okayama, Hiroshima, Yamaguchi, Tottori and Shimane), central part of a country, main region, province of the second lowest rank (ritsuryō system)"
中国語,Chinese (language)
中国人,Chinese person
中佐,"lieutenant colonel, commander (navy)"
仲裁,"arbitration, intercession, mediation"
中産階級,"middle class, bourgeoisie"
中座,"leaving ones seat (before an event is over), excusing oneself (from a meeting, conversation, etc.)"
駐在,"residence, stay, (job) posting, being stationed (overseas, etc.), residential police box, residential police box officer"
駐在所,"police substation, residential police box"
中止,"interruption, discontinuance, suspension, stoppage, cancellation (of a planned event), calling off"
注視,"gazing steadily at, observing (a person) closely, maintain a watch over"
中執,Central Executive Committee
注射,"injection, jab, shot"
駐車,parking (a vehicle)
注釈,"notes, comment, remark, annotation"
駐車場,"parking lot, car park, carpark, parking garage"
中秋,"15th day of the 8th lunar month, eighth month of the lunar calendar"
抽出,"extraction, abstraction, selection (from a group), sampling"
中小,small and medium
抽象,abstraction
中傷,"slander, libel, defamation, calumny, smear"
抽象化,abstraction
中小企業,"small and medium-sized enterprises, small and medium-sized businesses"
抽象的,abstract
抽象論,an abstract argument
昼食,"lunch, midday meal, food served at a tea party (tea ceremony)"
忠臣,"loyal retainer, loyal subject"
中心,"center, centre, middle, heart, core, focus, pivot, emphasis, balance, -centered, -centred, -focused, -oriented, centered on, focused on"
中震,moderate earthquake
衷心,innermost feelings
中心部,"central part, heart (of a city, etc.)"
中耳,"middle ear, tympanum"
中耳炎,"otitis media, inflammation of the middle ear"
中軸,"axis, pivot, central figure, key man"
忠実,"faithful, devoted, loyal, honest, true"
中旬,"middle of a month, second third of a month, 11th to 20th day of a month"
中将,"lieutenant general, vice-admiral"
虫垂炎,appendicitis
中枢,"centre, center, pivot, mainstay, nucleus, hub, backbone, central figure, pillar, key person, central nervous system"
中枢神経,central nerves
中世,"Middle Ages (in Japan esp. the Kamakura and Muromachi periods), medieval times, mediaeval times"
忠誠,"loyalty, sincerity, allegiance, fidelity, integrity"
中性,"neutrality (incl. chemical, electrical, etc.), indifference, sexlessness, androgyny, androgyne, neuter, neuter gender"
中性子,neutron
中生代,Mesozoic era
抽選,"lottery, raffle, drawing (of lots)"
中絶,"abortion, discontinuance, stoppage, suspension, interruption"
中前,"front of center field, front of centre field"
中卒,"having graduated from junior high school (as ones highest completed level of education), having completed no schooling beyond junior high school, middle school graduate"
鋳造,"casting, founding, minting"
中退,leaving school during a term
中隊,"company, battery, troop"
中段,"half-way up a slope or stairway, landing, center of three (horizontal) columns (of print) (centre)"
中断,"interruption, suspension, break"
躊躇,"hesitation, indecision, vacillation"
宙吊り,"hanging in midair, suspended in midair, midair stunt, aerial stunt"
中途,"halfway, midway, partway, mid-course"
中東,Middle East
中等,"second grade, medium quality, average, middle class, secondary grade"
中途半端,"halfway, half measures, unfinished, incomplete, by halves, half-baked, half-cocked, half-hearted, half-arsed, half-assed"
駐屯,"stationing (troops), occupancy"
中道,"middle of the road, centrism, moderation, golden mean, the middle (of what one is doing), half-way, middle way, middle path"
中毒,"poisoning, addiction"
中南米,Central and South America
中二階,mezzanine floor
中肉,"medium build, meat of medium quality"
駐日,resident in Japan
中日,"China and Japan, the middle day, the equinoctial day"
注入,"pouring, injection"
中年,"middle-age, middle age, midlife, ones middle years"
宙乗り,"midair stunt, aerial stunts"
中波,"medium wave, medium frequency, MF, medium frequency wave"
中盤,"middle stage, middle phase, middle game, midpoint, midfield (in soccer)"
中飛,"center fly, centre fly"
中火,"medium flame (cooking), medium heat, medium fire"
中腹,"halfway up (down) a mountain, mountainside"
中部,"center, centre, middle, heart, Chūbu region (incl. Aichi, Nagano, Shizuoka, Niigata, Toyama, Ishikawa, Fukui, Yamanashi and Gifu prefectures)"
厨房,"kitchen, galley, (Internet) troll"
注目,"notice, attention, observation"
注文,"order (for an item), request, demand, condition"
昼夜,day and night
中葉,"about the middle (of an era), middle lobe (right lung), median lobe (prostate)"
中立,neutrality
中略,"omission (of middle part of a text), ellipsis"
駐留,"stationing (e.g. of troops), garrison"
中流,"mid-stream, middle course, middle class"
中和,"neutralization, neutralisation, counteraction"
酎ハイ,"shōchū highball, cocktail of shōchū with tonic water"
治癒,"healing, cure, recovery"
著,"work, book, (a book) by, obvious, striking"
丁,"counter for long and narrow things such as guns, scissors, spades, hoes, inksticks, palanquins, candles, jinrikishas, shamisen, oars"
腸,"guts, bowels, intestines"
蝶,butterfly
超,"super-, ultra-, hyper-, extreme, extremely, really, totally, absolutely, over, more than"
兆,"10^12, 1,000,000,000,000, trillion, sign, omen, indication, portent"
庁,"government office, agency, board"
長,"head, chief, leader, elder, merit, strong point, superiority, major"
弔意,"condolence, sympathy, mourning"
調印,"signature, signing, sealing"
懲役,"penal servitude, imprisonment with hard labor (hard labour)"
超越,"transcendence, transcendency"
腸炎,enteritis
超音速,supersonic speed
超音波,"ultrasonic waves, ultrasound"
超過,"excess, being more than"
懲戒,"discipline, punishment, reprimand"
町会,town council
聴覚,the sense of hearing
朝刊,morning newspaper
長官,"secretary (government), director, chief"
長期,long-term
長期的,long-term
長久,"permanence, perpetuity, Chōkyū era (1040.11.10-1044.11.24)"
調教,"training (animals), breaking (animals)"
長距離,"long distance, long haul"
彫金,"chasing, metal carving, metal engraving"
町議会,town council
長兄,eldest brother
長径,major axis
帳消し,"writing off (a debt), cancellation, balancing the books, cancelling out (gains or losses), making even, making up (for), offsetting, undoing, wiping out"
朝見,"audience with the Emperor, imperial audience"
長江,"Yangtze River, Changjiang River"
兆候,"sign, indication, omen, symptom"
朝貢,bringing tribute
聴講,"lecture attendance, auditing"
彫刻,"carving, engraving, sculpture"
調合,"mixing, compounding, dispensing (e.g. prescription)"
調査,"investigation, examination, inquiry, enquiry, survey"
調剤,"making up a prescription, dispensing medicine, preparing medicine"
銚子,(sake) decanter
長子,"eldest child, oldest child, first child, eldest son, oldest son"
調子,"tune, tone, key, pitch, time, rhythm, vein, mood, way, manner, style, knack, condition, state of health, shape, impetus, spur of the moment, strain, trend"
超自然,"occult, transcendental, supernaturalness, supernaturalism, supernaturality"
庁舎,government office building
聴取,"hearing (of a statement, opinion, explanation, etc.), asking, questioning (e.g. a suspect), enquiry, listening (e.g. to the radio)"
聴衆,"audience, attendance, hearers"
徴集,"levying, requisitioning, compulsory enlistment, recruitment, conscription"
徴収,"collection (of fees, taxes, etc.), levy"
長所,"strong point, merit, virtue, advantage"
調書,"protocol, written evidence, record (investigation, interrogation, etc.), preliminary memo, charge sheet"
朝食,breakfast
長身,"tall figure, high stature"
聴診器,stethoscope
弔辞,"message of condolence, memorial address"
長時間,"long time, several hours, long spell"
長者,"millionaire, ones superior, ones elder, ones senior, virtuous and gentle person, female owner of a whorehouse in a post town, chief of a post town"
長寿,"long life, longevity"
鳥獣,"birds and wild animals, wildlife"
長女,"eldest daughter, first-born daughter"
頂上,"top, summit, peak"
超人,"superman, superwoman, Ubermensch (Nietzsches ideal man of the future), overman"
鳥人,"aviator, flying ace, birdman"
超人的,superhuman
町制,"town organization, town organisation, town administration"
調製,"manufacture, preparation, execution (an order)"
長征,"lengthy military expedition, Long March (China, 1934-1936), Long March (series of Chinese launch vehicles)"
長生,longevity
調整,"adjustment, regulation, coordination, reconciliation, tuning, fixing, tailoring"
調節,"regulation, adjustment, control"
挑戦,"challenge, defiance, dare, attempt, try"
朝鮮,Korea
朝鮮半島,Korean peninsula
朝鮮民主主義人民共和国,"Democratic Peoples Republic of Korea (North Korea), DPRK"
徴税,"tax collection, taxation"
超絶,"transcendence, excellence, superiority"
彫塑,"carving, engraving, clay model, plastic art"
町村,towns and villages
彫像,"sculpture, carved statue, graven image"
調達,"supply, provision, raising, procurement"
長短,"(relative) length, advantages and disadvantages, pluses and minuses, strong and weak points, merits and demerits"
長打,"long hit, slugging, extra-base hit"
頂戴,"receiving, getting, accepting, being given, eating, drinking, having, please (give me; do for me)"
長大,"long and large, tall and large, grand, huge"
長蛇の列,"long line, long queue"
蝶々,butterfly
長調,major key
町長,town mayor
提灯,"paper lantern, Chinese lantern, Japanese lantern"
朝廷,Imperial Court
調停,"arbitration, conciliation, mediation"
頂点,"vertex, apex, top (e.g. of a mountain), summit, peak, top (of a profession, field, etc.), summit, peak (of popularity, a boom, etc.), height (e.g. of prosperity), apex, zenith, climax"
弔電,telegram of condolence
超伝導,"superconductivity, super-conductivity"
超党派,"suprapartisan, multiparty, bipartisan, nonpartisan"
超特急,super express
調度,"household items, furniture, furnishings, fixtures, supplies, bow and arrow"
丁度,"exactly, precisely, just, right, opportunely, fortunately, just (like), as if, as though"
町内,"neighborhood, neighbourhood, street, block, town"
長男,"eldest son (may be the only son), first-born son"
町人,"chōnin (Edo-period social class of town-dwelling commoners, esp. landowning merchants), townspeople, townsfolk, tradespeople"
超能力,"extra-sensory perception, ESP, psi, psychic ability, psychokinesis, PK"
長髪,long hair
挑発,"provocation, stirring up, arousal, excitement, stimulation"
挑発的,"provocative, incendiary, inflammatory, suggestive, lascivious, risqué"
跳馬,long horse (for vaulting)
懲罰,"discipline, punishment, reprimand"
懲罰委員会,disciplinary committee
貼付,"pasting, sticking, attaching, affixing, appending"
重複,"duplication, repetition, overlapping, redundancy, restoration"
長文,"long sentence, long piece of writing (e.g. passage, letter, article, telegram)"
徴兵,"conscription, (military) draft, (compulsory) enlistment"
長編,"long (e.g. novel, film)"
諜報,"secret information, intelligence"
重宝,"convenient, useful, handy, helpful, finding useful, coming in handy, using often, (priceless) treasure"
長方形,"rectangle, oblong"
張本人,"originator, ringleader, perpetrator, main culprit, person responsible"
帳簿,"account book, register, ledger"
眺望,"prospect, view, outlook"
調味,"seasoning, flavoring, flavouring"
調味料,"seasoning, flavoring, flavouring, condiment"
町民,townspeople
丁目,"district of a town, city block (of irregular size)"
町名,"name of a town, name of a street, name of a neighborhood"
長命,long life
弔問,"condolence call, visiting a bereaved family to offer condolences"
聴聞,"listening, hearing"
聴聞会,hearing (by a government agency)
跳躍,"jump, leap, skip, bound"
長幼,young and old
徴用,"drafting, requisition, impressment, commandeering, expropriation"
調理,"cooking, food preparation"
調理師,"licensed chef, qualified cook"
調律,tuning (musical)
調律師,piano tuner
潮流,"tide, tidal current, tendency, drift, trend"
聴力,hearing ability
鳥類,birds
朝礼,"morning assembly (at a company, school, etc.), morning gathering"
朝令暮改,"an unsettled course of action, (orders or laws) being revised often with no guiding principles"
長老,"elder, senior, senior monk, dean, presbyter, patriarch"
調和,"harmony, accord, reconciliation, agreement"
貯金,"putting money aside, savings, deposit (e.g. in a bank), accumulated surplus of wins, wins in the bank"
貯金局,(Japanese) Postal Savings Bureau
直,"direct, honest, frank, straightforward, candid, easygoing, lighthearted, friendly, night duty, night watch, being on duty (in a factory), shift"
直営,direct management
直撃,direct hit
直言,"straight talk, plain speaking, speaking frankly"
直後,immediately following
直視,"taking a straight look at something, looking someone in the eyes"
直射,"direct fire, frontal fire, direct rays (of sunlight)"
直進,"going straight on, going straight ahead"
直接,"direct, immediate, personal, firsthand"
直接行動,direct action
直接選挙,direct election
直接税,direct tax
直接的,direct
直線,straight line
直前,"just before, just prior to, right in front of, just in front of"
直送,direct delivery
直属,"direct control, direct supervision"
直腸,rectum
ちょくちょく,"often, frequently, now and then, occasionally"
直通,"direct line, direct communication, connecting directly, through service, nonstop service"
直売,"direct selling, direct sales"
直方体,"right-angled parallelepiped, cuboid, rectangular solid"
直面,"confrontation, to face, to confront, to encounter"
直訳,"literal translation, direct translation"
直輸入,"direct import, direct importation"
直立,"standing upright, standing straight, standing erect, rising perpendicularly, rising straight up, towering high"
直流,"direct current, DC"
直列,"series (e.g. electrical), serial"
猪口,"sake cup, small deep porcelain bowl for serving food"
著作,"writing, book"
著作権,copyright
著者,"author (usu. of a particular book), writer"
著書,"(written) work, book, writings"
著述,"writing, book, (literary) work"
貯水,storage of water
貯水池,reservoir
貯蔵,"storage, preservation"
貯蔵庫,"storehouse, bunker, silo"
貯蓄,savings
直下,"directly under, falling perpendicularly"
直角,"right angle, perpendicular"
直轄,direct control
直感,"intuition, instinct, hunch"
直感的,intuitive
直球,"straight ball (pitch), direct (e.g. question), blunt"
直径,diameter
直系,"direct descent, direct line"
直結,"direct connection, direct link"
