charcter,definition,pinyin
膑,the kneecap,bìn
虻,"horsefly, gadfly",méng
筠,bamboo skin; bamboo,yún
埽,"broom; to sweep, clear away",sào
笞,bamboo rod used for beatings,chī
臾,"moment, instant, short while",yú
婀,"be beautiful, be graceful",ē
珞,kind of necklace,luò
粑,tsamba (food in Tibet),bā
怵,"fear, be afraid; shy, timid",chù
绻,"affectionate, solicitous",quǎn
殒,"die, perish; vanish; fall",yǔn
觊,"covet, long for, desire",jì
崂,"Laoshan, mountain in Shandong",láo
颧,cheek bones,quán
嗑,eat seeds; reproach; loquacious,kē
榛,"hazelnut; thicket, underbrush",zhēn
昱,"bright light, sunlight; dazzling",yù
蜴,lizard,yì
鳝,eel,shàn
噙,hold in mouth; bite,qín
淼,a wide expanse of water,miǎo
矾,alum,fán
硼,"borax, boron",péng
囿,"pen up; limit, constrain",yòu
泅,"swim, float, wade",qiú
邂,unexpected meeting; encounter by,xiè
钜,"steel, iron; great",jù
蠹,moth; insects which eat into clot,dù
垩,"holy, sacred, sage; simplification of ",è
乩,to divine,jī
嗝,"cackling of fowls to gag, to vomit",gé
淦,river in Jiangxi province; water leaking into a boat,gàn
樽,"goblet; jar, jug; lush",zūn
诮,"criticize, scold, blame, ridicule",qiào
揆,"prime minister; to guess, estimate",kuí
啐,"to taste, to sip; to spit; the sound of sipping; to surprise",cuì
淅,water used wash rice; to wash ric,xī
榉,type of elm,jǔ
馗,"cheekbone; path, road; intersection",kuí
辔,"bridle of horse, reins",pèi
暹,"rise; advance, go forward",xiān
骛,"gallop; rush about; pursue, run",wù
鱿,cuttlefish,yóu
苫,rush or straw matting,shān
犷,"fierce, rude, uncivilized",guǎng
獠,to hunt at night by torches,liáo
詈,"scold, abuse verbally, curse",lì
竦,"revere, respect, be in awe of",sǒng
篙,pole used punt boat,gāo
诨,"jokes, obsene jests; joke",hùn
铰,"hinge; shears, scissors",jiǎo
馄,"dumpling soup, wonton",hún
蜚,cockroach,fēi
峒,mountain in Gansu province,dòng
滢,"clear, pure water; lucid; glossy",yíng
琬,the virtue of a gentleman; jade,wǎn
靓,make up face; ornament; quiet,jìng
狻,a fabulous beast,suān
璨,gems; luster of gems; lustrous,càn
犟,stubborn,jiàng
鸬,cormorant,lú
螨,insect,mǎn
芩,salt marsh plant,qín
嘹,used describe clarity of voice; resonant,liáo
锟,ancient treasured sword,kūn
蜇,jellyfish,zhē
洹,river in Henan province,huán
栉,"comb; comb out; weed out, elimininate",zhì
俪,"spouse, couple, pair",lì
钍,thorium,tǔ
锨,shovel,xiān
瑁,fine piece of jade,mào
壹,number one,yī
痿,paralysis; impotence,wěi
竑,be vast and endless; broad,hóng
粕,"lees, dregs, sediments left after distilling liquor",pò
犄,animal horns,jī
瘙,itch,sào
饯,"farewell party; see off, send off",jiàn
抟,roll around with hand; model,tuán
衲,"mend, sew, patch; line; quilt",nà
踮,tip toe,diǎn
龅,teeth protrude,bāo
愎,"obstinate, stubborn, headstrong",bì
馥,"fragrance, scent, aroma",fù
梏,"handcuffs, manacles, fetters",gù
讣,obituary; give notice of death,fù
邝,surname,kuàng
艿,,nǎi
趺,sit cross-legged; back of the foo,fū
鲟,sturgeon,xún
剜,"cut, cut out, pick out, scoop out",wān
绉,"crepe, crape, wrinkles, creases",zhòu
罅,"crack, fissure, split",xià
笥,"a hamper, wicker basket",sì
衩,the open seam of a garment which allows freedom of movement,chǎ
姣,"beautiful, handsome, pretty",jiāo
斫,"cut, chop, lop off",zhuó
鹗,"osprey, fishhawk",è
腎,"kidneys; testes, gizzard",shèn
爻,diagrams for divination,yáo
猕,macacus monkey,mí
晗,pre-dawn,hán
铩,moult,shā
窕,"slender; quiet and modest, charming",tiǎo
仨,(coll.) three (cannot be followed by a measure word),sā
搡,to push over or push back,sǎng
崴,"high, lofty; precipitous",wǎi
酢,,cù
檄,call arms; urgency,xí
佞,flattery; glib,nìng
孑,"remaining, left-over; lonely",jié
璀,lustre of gems; glitter; shine,cuǐ
岷,"min mountain, min river",mín
舛,"oppose, deviate, be contrary to",chuǎn
邕,former or literary name for Nanning (in Guangxi),yōng
闿,open; peaceful,kǎi
铂,platinum; thin sheet of metal,bó
霁,to clear up after rain; to cease be angry,jì
犒,entertain victorious soldiers,kào
馏,"distill, distillation",liú
阈,"threshold; separated, confined",yù
麋,elk; surname,mí
麒,legendary auspicious animal,qí
苁,medicinal herb,cōng
摁,to press with the hand,èn
涔,river in Shaanxi; murky torrent,cén
宥,"forgive, pardon, indulge",yòu
妍,"beautiful, handsome; seductive",yán
铤,"ingots, bars of metal; hurry",dìng
锷,"high, lofty; edge of knife",è
嗲,,diǎ
恽,"devise, plan, deliberate; consult",yùn
麂,species of deer,jǐ
赝,false; counterfeit; bogus; sham,yàn
胛,"the shoulder, shoulder blade",jiǎ
哂,"smile, laugh at, sneer at; (Cant.) a final particle indicating doing something to the full extent possible",shěn
撷,"pick up, gather up; hold in lap",xié
呶,talkative; clamour; hubbub,náo
噘,pouting,juē
懔,"be afraid of, to be in awe of",lǐn
栎,chestnut-leaved oak; oak,lì
桎,"fetters, shackles, handcuffs",zhì
霰,"hail, sleet",sǎn
飨,host banquet; banquet,xiǎng
揄,"lift, raise; praise; hang; flap",yú
噔,syllable; (Cant.) for (a recipient of pity or sympathy),dēng
娣,"younger sister, sister-in-law",dì
薏,,yì
忝,disgraced; ashamed; self-deprecating,tiǎn
咤,"scold, bellow, shout at, roar",zhà
嗵,used for sound,tōng
迤,wind; walk out of straight path,yí
贲,forge ahead; energetic; surname,bēn
胪,arrange in order; display,lú
鍪,an iron pan; a metal cap,móu
泸,river in Jiangxi province,lú
蔫,"withered, faded, decayed; calm",niān
刈,"cut off, reap, mow; sickle",yì
僖,"joy, gladness, delight; surname",xī
咿,descriptive of creaking; laugh,yī
鹌,quail; Coturnix coturnix,ān
嗪,character used in translation,qín
茏,tall grass; water-weeds,lóng
茯,china root; medicinal fungus,fú
岫,"mountain peak; cave, cavern",xiù
嵘,"high, steep; lofty, towering",róng
轱,wheel; to turn; to revolve,gū
怼,"hate, abhor; hatred, resentment",duì
铨,"weigh, measure; select officials",quán
昕,dawn; early morning; day,xīn
郢,,yǐng
咩,the bleating of sheep; (Cant.) an interrogative particle,miē
馊,"spoiled, rotten, stale, rancid",sōu
髡,to shear tree; ancient punishment,kūn
澧,river in northern Hunan province,lǐ
苣,kind of lettuce,jù
濯,"wash out, rinse; cleanse",zhuó
盥,wash,guàn
囡,,nān
砺,whetstone; sharpen,lì
佘,surname,shé
谶,"prophecy, hint, omen",chèn
弑,,shì
楂,"a raft, to hew, to fell trees",zhā
翦,"scissors; cut, clip; annhilate",jiǎn
怩,"shy, timid, bashful; look ashamed",ní
蠼,,qú
霏,falling of snow and rain,fēi
楹,"column, pillar; numerary adjunct",yíng
讴,sing; songs,ōu
锲,"sickle; cut, carve, engrave",qiè
慵,"indolent, easy-going, lazy",yōng
胝,"callous, corn",zhī
砭,stone probe; pierce; counsel,biān
潍,county in Shandong province,wéi
杵,pestle; baton used beat clothes,chǔ
樾,the shade of trees,yuè
帼,,guó
碣,stone tablet,jié
诌,"play with words, quip; talk nonse",zhōu
徕,"induce, encourage to come",lái
胴,the large intestine; the body,dòng
钴,cobalt; household iron,gǔ
裟,a cassock or robe of a monk,shā
啶,phonetic used in pyridine and pyrimidine,dìng
铣,mill,xǐ
铱,iridium,yī
楫,"oar, paddle",jí
赭,reddish brown; hematite; ochre,zhě
碛,sand and gravel,qì
酊,"drunk, intoxicated",dīng
魑,a mountain demon resembling a tiger,chī
醛,aldehyde,quán
剐,"cut, cut flesh from bones",guǎ
畦,sections in vegetable farm,qí
陂,"dam, embankment; reservoir",bēi
闶,door,kāng
阄,lots (to be drawn); draw lots,jiū
祚,"throne; bless; blessing, happiness",zuò
鹘,a kind of pigeon; treron permagna,gǔ
泱,"great, expansive; agitated",yāng
趄,"weak, lame",jū
骅,an excellent horse,huá
陲,"frontier, border",chuí
郧,county in Hubei province,yún
倜,raise high; unrestrained,tì
呤,purine,lìng
燧,"flintstone; beacon, signal fire; torch",suì
铉,device for carrying a tripod,xuàn
粲,"polish; bright, radiant; smiling",càn
骶,coccyx,dǐ
峁,yellow dirt mount,mǎo
忸,"blush, be bashful, be ashamed",niǔ
渌,strain,lù
骞,"raise, hold high; fly, soar",qiān
髭,mustache,zī
戡,"subjugate, subdue, quell; kill",kān
钨,"tungsten, wolfram",wū
谲,"cunning, crafty, sly, wily",jué
苋,amaranth,xiàn
锃,polish,zèng
蜊,clam,lí
幄,tent; mosquito net,wò
闼,door; gate,tà
戕,"kill, slay; wound, injure, hurt",qiāng
骊,a pure black horse; a pair of horses,lí
虢,name of ancient feudal State in Shenxi and Hunan,guó
烩,"ragout, cook, braise",huì
傥,"if, supposing, in case",tǎng
妲,concubine of last ruler of the Shang dynasty,dá
绌,"sew, stitch; insufficient",chù
桠,the forking branch of a tree,yā
袈,Buddhist cassock,jiā
鎗,"rifle, small arms, hand gun",qiāng
薮,"marsh, swamp; wild country",sǒu
揿,press,qìn
杲,bright sun; brilliant; high,gǎo
肓,region between heart and diaphragm,huāng
厝,cut or engrave; a grave or tombstone,cuò
莅,"attend, be present; arrive at",lì
氤,"hanging fog, misty",yīn
缙,red silk,jìn
衮,ceremonial dress worn by the emperor,gǔn
诟,"abuse, scold, berate, insult",gòu
旖,romantic; tender; charming,yǐ
硒,selenium,xī
唁,express condolence,yàn
嬗,succession to the throne,shàn
硎,whetstone,xíng
裱,to mount maps or scrolls to paste,biǎo
颦,"frown, knit brows; with knitted",pín
質,"matter, material, substance",zhì
靥,dimples,yè
纥,"inferior silk; tassel, fringe",gē
煨,"to stew, simmer",wēi
礴,"fill, extend",bó
鏖,"to fight to the end, engage in a fierce battle",áo
蝈,small green frog; cicada,guō
笏,tablet held by someone having authority,hù
羿,legendary archer,yì
鼐,incense tripod,nài
湟,river in qinghai province,huáng
甑,"boiler for steaming rice, pot",zèng
炜,brilliant red; glowing,wěi
煲,to heat; to boil a saucepan,bāo
锉,,cuò
笕,bamboo water pipe,jiǎn
喑,to be dumb; the sobbing of infants,yīn
嶂,cliff; mountain barrier,zhàng
浔,steep bank by stream; jiujiang,xún
弭,"stop, desist, end, quell",mǐ
妪,"old woman, hag",yù
锂,lithium,lǐ
苡,barley,yǐ
孳,breed in large numbers,zī
颏,chin,kē
醴,sweet wine; sweet spring,lǐ
間,"interval, space; place, between",jiān
渚,"small sand bank, islet",zhǔ
轭,"yoke, collar",è
鹬,"snipe, kingfisher",yù
蚝,hairy and poisonous caterpillars,háo
黃,yellow; surname,huáng
膘,fat; rump,biāo
邛,in distress; a mound,qióng
痨,consumption; tuberculosis,láo
褡,"girdle; loincloth; pouch, bag",dā
耦,plow side by side; team of two,ǒu
覃,"reach to, spread to; extensive",tán
虛,"false, worthless; empty, hollow",xū
馔,"to feed, support, provide for; food",zhuàn
篾,bamboo splints or slats,miè
兖,establish; one of nine empire divisions,yǎn
阋,"feud, fight, quarrel",xì
遨,"ramble, roam; travel for pleasure",áo
爰,"lead on to; therefore, then",yuán
痂,scab,jiā
艄,stern of a vessel,shāo
耨,"hoe, rake; weed",nòu
沤,"soak, steep; sodden or soaked",ōu
邋,rags,lā
焓,"(Cant.) onomatopoetic, the sound of a fiercely-burning fire",hán
秣,"fodder, horse feed; feed horse",mò
昶,a long day. bright. extended. clear,chǎng
種,seed; race; offspring; to plant,zhǒng
變,"change, transform, alter; rebel",biàn
窣,"to rush out of a den; rustling, whispering",sū
绦,"silk cord, ribbon",tāo
俎,chopping board or block; painted,zǔ
榫,mortise and tenon; fit into,sǔn
蟪,a kind of cicada,huì
稗,"darnels, weeds, tares small",bài
謇,stutter; speak out boldly,jiǎn
氩,argonium,yà
類,"class, group, kind, category",lèi
锴,high quality iron,kǎi
龉,uneven teeth; to disagree,yǔ
烃,hydrocarbon,tīng
俣,big,yǔ
嬷,mother,mā
肱,forearm,gōng
鸢,kite; Milvus species (various),yuān
笫,"bed boards, sleeping mat",zǐ
痤,a swelling of the lymph nodes,cuó
陰,,yīn
菏,river in Shandong province,hé
莆,a kind of legendary tree,pú
芨,"name of a plant, the roots are used for various purposes",jī
阕,"close, shut; watch tower",què
砣,"a stone roller; a heavy stone, a weight, a plummet",tuó
碜,gritty,chěn
鼹,a kind of insectivorous rodent,yǎn
長,long; length; excel in; leader,zhǎng
猷,"plan, scheme; plan, plot; way",yóu
竽,ancient woodwind instrument,yú
舸,"large boat, barge",gě
诓,"cheat, swindle, lie",kuāng
錾,"engraving tool, chisel",zàn
淬,"temper; dye; soak; change, alter",cuì
隗,high; lofty; surname,kuí
悌,"brotherly, respectful",tì
姘,illicit sexual relations,pīn
槭,maple,qī
邈,"far, distant, remote; slight",miǎo
婕,handsome,jié
歙,,shè
稹,,zhěn
蹴,kick; tread on; leap; solemn,cù
砒,arsenic,pī
痈,"carbuncle, sore, ulcer, abscess",yōng
镏,distil; lutetium; surname,liú
羯,"wether, castrated ram; deer skin",jié
豕,"a pig, boar; KangXi radical 152",shǐ
鲂,bream,fáng
蓖,"castor-oil plant, Ricinus commumis",bì
匦,"small box; chest, casket",guǐ
笤,"a broom, a besom",tiáo
峥,"high, lofty, noble; steep, perilous",zhēng
徭,"conscript labor, compulsory labor",yáo
浃,"saturate, drench; damp, wet",jiā
烊,to smelt; to melt,yáng
補,"mend, patch, fix, repair, restore",bǔ
窸,"faint sound, whisper",xī
酆,name of Zhou period state,fēng
缢,"hang, strangle",yì
褓,swaddling cloth; infancy,bǎo
蚨,"a kind of water-beetle cash, then dollars and money generally",fú
翳,"shade, screen; to hide, screen",yì
趔,not progressing; to be checked,liè
炔,acetylene,guì
誊,"copy, transcribe",téng
赜,"abstruse, deep, profound",zé
仃,"lonely, solitary",dīng
勖,"enjoin, advise, preach to",xù
葺,"thatch; fix, repair; pile up",qì
蚴,larva,yòu
泷,raining; wet; soaked; a river in Guangdong,lóng
蛴,"maggots, grubs",qí
結,"knot, tie; join, connect",jié
媸,an ugly woman,chī
俳,actor; vaudeville show; insincere,pái
诖,"error, mistake; deceive, mislead",guà
茑,the convovulvus; parasitic plants such as mistletoe; Ribes ambiguum,niǎo
逡,"retreat, withdraw, fall back",qūn
孱,"weak, unfit, frail, feeble",càn
砦,"stockade, fort, military outpost; brothel",zhài
跸,"clear way, make room for; emp",bì
祜,"blessing, happiness, prosperity",hù
伉,"compare, match; pair; spouse",kàng
溴,bromine,xiù
屐,"wooden shoes, clogs",jī
飚,whirlwind,biāo
蛞,"snail; slug, mole cricket",kuò
鏡,mirror; lens; glass; glasses,jìng
掮,to bear on the shoulders,qián
崆,Kongtong mountain,kōng
庾,granary; storehouse,yǔ
橛,"a post, a stake; an axle",jué
矸,a rock or cliff,gān
鸨,bustard; procuress; Otis species (various),bǎo
圻,"border, boundary",qí
缂,the woof of a woven item,kè
蒯,"a rush, of which various things are made",kuǎi
诹,"consult, confer; select, choose",zōu
啭,"sing, chirp, warble, twitter",zhuàn
饧,"sugar, syrup; malt sugar; sticky",táng
镉,cadmium,gé
鸪,species of Taiwan pigeon,gū
蛩,"cricket, locust; anxious",qióng
蠖,inch-worm; looper caterpiller,huò
說,"speak, say, talk; scold, upbraid",shuō
劭,encourage; to excel; excellent,shào
哐,syllable,kuāng
崧,"high mountain; lofty, eminent",sōng
杼,shuttle of loom; narrow; long-headed; a scrub oak; thin,zhù
棂,carved or patterned window sills,líng
螫,poison; sting; poisonous insect,shì
龃,irregular teeth; discord,jǔ
饔,breakfast; eat prepared food,yōng
遑,"leisure, leisurely; hurry about",huáng
颢,"luminous; white, hoary",hào
腱,tendons,jiàn
襁,swaddling clothes,qiǎng
忾,"anger, wrath, hatred, enmity",kài
濠,"moat, trench, ditch",háo
牝,female of species; deep gorge,pìn
蛄,mole cricket,gū
鲆,sole,píng
嗄,hoarse of voice,á
灏,"vast, large, grand, expansive",hào
疥,"scabies, itch",jiè
苜,clover,mù
荞,buckwheat,qiáo
嘣,syllable,bēng
夤,distant place; remote; deep,yín
砝,balance weights,fá
颞,the temporal bone,niè
開,"open; initiate, begin, start",kāi
忤,"insubordinate, stubborn; wrong",wǔ
遢,"careless, negligent, slipshod",tà
旎,fluttering of flag; romantic,nǐ
瘛,,chì
魉,a kind of monster,liǎng
辇,hand-cart; transport by carriage,niǎn
見,"see, observe, behold; perceive",jiàn
瓤,"flesh, core, pulp, pith",ráng
荥,a county in Henan; the rising and dashing of waves,xíng
涫,,guàn
娌,,lǐ
氚,tritium,chuān
臁,calf of the leg,lián
毂,hub of wheel,gǔ
碇,anchor,dìng
毖,"guard against, take care; caution",bì
壅,to obstruct,yōng
吡,blame,bǐ
缛,"decorative, adorned, elegant",rù
玮,"type of jade; rare, valuable",wěi
羟,hydroxide,qiǎng
還,"still, yet, also, besides",hái
珈,,jiā
颀,tall and slim,qí
虼,a flea; species of beetle,gè
祇,the spirit of the earth; (used for ,qí
佝,rickets,gōu
翕,agree,xī
遴,"select, choose; surname",lín
珏,two pieces of jade joined together,jué
郛,outer walls of city; suburbs,fú
較,"compare; comparatively, more",jiào
驗,"test, examine, inspect; verify",yàn
玖,black-colored jade,jiǔ
蹇,"lame, crippled; unlucky",jiǎn
逋,"flee, run away, leave debt unsettled",bū
氅,overcoat; down feathers,chǎng
粽,dumpling made of glutinous rice,zòng
诂,"exegesis, explanation; explain",gǔ
岢,,kě
聒,"clamor, din, hubbub",guā
髁,"thigh bone, hipbone; kneecap",kē
黍,glutinous millet; KangXi radical number 202,shǔ
芾,flower; small; little; lush,fèi
淝,name of an affluent of the Poyang Lake,féi
鲎,king crab,hòu
鞣,"tan, soften",róu
髋,hipbone; hip,kuān
闳,"gate, barrier; wide, vast, expand",hóng
潆,tiny stream; swirl around,yíng
汨,Mi(luo) river in Hunan province where Qu Yuan drowned himself; to sink; used (erroneously) for ,mì
胍,,guā
阏,"block, obstruct, stop up",è
钤,"lock, latch; stamp, seal",qián
鹜,duck,wù
鬈,fine growth of hair curly hair,quán
铵,ammonium,ǎn
戬,"exterminate, destroy; blessing",jiǎn
點,"dot, speck, spot; point, degree",diǎn
崮,"a mesa, hill with flat top and steep sides",gù
枰,smooth board; chessboard; chess,píng
樯,"mast, yard-arm, boom",qiáng
脍,minced meat or fish,kuài
畲,to cultivate land by first setting fire to it,shē
衾,"coverlet, quilt",qīn
蹼,webbed feet of waterfowl,pǔ
題,"forehead; title, headline; theme",tí
劬,"be diligent, toil, endeavor",qú
咭,,jī
囫,"entire, whole",hú
洱,a lake in Yunnan,ěr
刎,"behead, cut throat",wěn
芏,,dù
琊,a place in eastern Shandong,yá
碚,suburb,bèi
鳕,codfish,xuě
谪,"charge, blame; disgrace; demote",zhé
芎,a kind of herb,qiōng
恂,"careful, sincere, honest; trust",xún
槿,hibiscus,jǐn
鲢,"silver carp, hypophthalmiathys",lián
鲧,giant fish; father of emperor,gǔn
嘧,pyrimidine,mì
绀,dark blue or reddish color,gàn
郦,,lì
噱,"laugh heartily, laugh aloud",jué
浠,,xī
潸,weep; tears flowing,shān
跏,sit cross-legged; squat,jiā
鲶,sheat,nián
矍,look about in fright or alarm,jué
苌,averrhora carambola; surname,cháng
抻,pull,chēn
琰,"jewel, gem; glitter of gems",yǎn
鹚,cormorant,cí
龆,lose baby teeth and get adult teeth,tiáo
臬,"law, rule; door post",niè
芄,,wán
呔,"(Cant.) a necktie, a tire",dāi
雒,black horse with white mane,luò
觞,wine vessel; propose toast; feast,shāng
钒,vanadium,fán
饫,"surfeited, satiated; confer",yù
阒,"alone; quiet, still",qù
槎,"raft; time, occasion; to hew",chá
鸩,a bird resembling the secretary falcon,zhèn
舂,grind in mortar,chōng
谠,"counsel, advice; speak out",dǎng
阡,footpaths between fields; paths,qiān
莒,hemp-like plant; taro; herb,jǔ
萸,dogwood,yú
妗,,jìn
稔,"ripe grain; harvest; to know, be familiar with",rěn
穰,"stalks of grain; lush, abundant",ráng
蚧,"a red spotted lizard, used as medicine",jiè
餍,,yàn
谯,tower; surname,qiáo
芗,fragrant smell of grain; aromatic,xiāng
菸,to fade; withered or dried leaves; tobacco (used for ,yān
葩,flowers,pā
踔,to get ahead; to stride; to excel,chuō
厣,shell,yǎn
佻,frivolous; unsteady; delay,tiāo
嘌,"fast, speedy",piào
饩,sacrficial victim; gift; grain,xì
钏,"bracelet, armlet",chuàn
蠓,midges; sandflies,měng
黩,"to dishonor, defile, corrupt; soiled",dú
倨,"arrogant, haughty, rude",jù
腸,intestines; emotions; sausage,cháng
缬,patterned silk; tie knot,xié
殚,"utmost, entirely, quite; use up",dān
钿,"hairpin; gold inlaid work, filigree",diàn
鎏,pure gold,liú
恁,"that, like this, thus, so, such",nèn
藿,"lophanthus rugosus, betony",huò
囟,top of the head; skull,xìn
鄣,"name of an ancient city in N. Jiangsu, near Shandong",zhāng
呋,,fū
婺,name of a star,wù
绱,the piece of leather used for soles on Chinese shoes; a patch,shàng
瓯,"bowl, cup; small tray",ōu
旃,silk banner with bent pole,zhān
锶,strontium,sī
酩,drunk; intoxicated; tipsy,mǐng
恹,"feeble, sickly; tranquil, calm",yān
逶,"winding, curving; swagger",wēi
缦,"plain silk; simple, plain",màn
鸹,the crow,guā
螟,"kind of caterpillar, larva",míng
菟,dodder; creeper,tú
阗,a place in Xinjiang province,tián
濉,,suī
篑,a bamboo basket for carrying earth,kuì
醪,"unclear wine, wine with dregs",láo
鲛,shark,jiāo
讦,,jié
媪,old woman; lower-class woman,ǎo
邬,various place names; surname,wū
殇,die young; national mourning,shāng
鄯,district in Gansu during the Tang dynasty,shàn
芡,plant allied to the waterlily,qiàn
嫠,a widow,lí
肼,hydrazine,jǐng
峤,high pointed mountain,jiào
矽,silicon,xì
讧,confusion; internal strife,hòng
掼,"throw ground; know, be familiar",guàn
焖,"simmer, cook over slow fire",mèn
愆,"a fault, mistake, error, transgression",qiān
聩,deaf,kuì
岘,steep hill; mountain in Hubei,xiàn
靛,indigo; any blue dye,diàn
菖,"iris, sweet flag, calamus",chāng
卟,a chemical compound; divination; to consider,bǔ
姒,wife of elder brother,sì
杷,loquat,pá
砉,,huò
袢,robe,pàn
蚋,"gnat, mosquito",ruì
笳,a reed leaf whistle,jiā
挈,"assist, help, lead by hand",qiè
關,frontier pass; close; relation,guān
踽,to walk alone; self-reliant,jǔ
黾,to strive; to endeavor,miǎn
麼,"interrogative final particle; insignificant, small, tiny",me
侩,"go-between, broker, proxy",kuài
凫,"wild duck, teal; swim",fú
诔,"eulogize, praise the dead",lěi
郯,name of a small ancient principality which was situated in what is now part of Shantung and Kiangsu,tán
韪,right; proper; perpriety,wěi
挲,to feel or fondle with the fingers,sā
笪,a coarse mat of rushes or bamboo,dá
鼋,"large turtle, sea turtle",yuán
莜,Avena nuda; a bamboo basket,yóu
風,"wind; air; manners, atmosphere",fēng
菅,"coarse grass, themedia forskali",jiān
嵊,"district in Shaohsing, Chekiang",shèng
裢,folding purse inserted in belt,lián
趿,to tread on; slipshod,tā
箸,chopsticks,zhù
莴,lettuce,wō
莠,"weeds, tares; undesirable, evil",yǒu
阌,"wen xiang, Henan province",wén
旯,"nook, corner",lá
圜,"circle, surround; encircle",huán
涪,river in Sichuan province,fú
赍,present,jī
柞,oak; spinous evergreen tree; to clear away trees,zhà
嗍,,suō
囵,"all, complete, entire",lún
榧,type of yew,fěi
裰,to mend clothes,duō
笾,bamboo container for food,biān
簟,bamboo mat,diàn
跎,"slip, stumble, falter; vacillate",tuó
巽,"5th of the 8 trigrams; south-east; mild, modest, obedient",xùn
曷,why? what? where?,hé
逖,"far, distant; keep at distance",tì
骓,piebald horse,zhuī
绔,trousers,kù
枋,sandalwood; tree used as timber,fāng
镒,measure of weight for gold,yì
魃,drought demon,bá
餮,a legendary animal; a greedy person,tiè
讵,an interjection used express surprise,jù
乜,to squint; (Cant.) what? huh?,miē
鄢,name of a district in Honan,yān
瑭,a kind of jade,táng
踅,to walk around; turn back midway,xué
馓,fried round cakes of wheat flour,sǎn
蟛,a land-crab,péng
鳟,barbel,zūn
荛,"fuel, firewood; stubble; Wikstroemia japonica",ráo
菬,,qiáo
忪,"quiet, calm, tranquil, peaceful",sōng
阍,"gatekeeper; gate, door",hūn
姹,"beautiful, colorful; girl",chà
纰,spoiled silk; hem of dress; mista,pī
桉,eucalyptus,ān
氪,krypton,kè
氘,deuterium,dāo
垅,"mound, grave; ridge in field",lǒng
郃,county in Shanxi province,hé
汊,a branching stream,chà
娉,"beautiful, attractive, charming, graceful",pīng
纡,"bend, turn, twist; distort",yū
缟,white raw silk,gǎo
旮,"nook, corner",gā
镢,hoe,jué
傈,tribe,lì
堋,bury,péng
蔺,rush used for making mats; surnam,lìn
庥,"shade; shelter, protection",xiū
枥,type of oak; stable,lì
腭,"palate, roof of mouth",è
鹕,pelican,hú
笮,boards which support tiles on roof,zé
髂,the pelvis,qià
魍,"demons, mountain spirits",wǎng
缁,black silk,zī
槊,"spear, lance",shuò
跞,"walk, move",lì
醚,ether,mí
吒,"shout, roar, bellow; scold",zhā
枳,trifoliate orange; hedge thorn; (Cant.) a plug,zhǐ
搿,,gé
鹧,partridge,zhè
蜍,toad,chú
舻,bow or prow of boat,lú
鏊,"a flat, iron cooking-plate for cakes",ào
禳,"pray or sacrifice, exorcise",ráng
蒺,furze; gorse,jí
钹,cymbals,bó
蜢,grasshopper,měng
鬻,"sell; child, childish; nourish",yù
珩,the top gem of the pendants,háng
卮,measuring cup; wine container,zhī
垭,character used in place names,yā
苄,benzyl,biàn
苕,rush plant,sháo
菀,luxuriance of growth,wǎn
骠,"charger, steed; swift, valiant",biāo
袷,lined garment,jiá
跹,"wander about, walk around; revolve",xiān
瘘,"fistula, sore, ulcer, goiter",lòu
騔,,gé
論,debate; discuss; discourse,lùn
磬,musical instrument; musical stone,qìng
缶,earthen crock or jar; rad. 121,fǒu
笸,flat basket for grain,pǒ
鸷,"hawk, vulture",zhì
頭,"head; top; chief, first; boss",tóu
芰,water caltrop,jì
蕲,variety of artemisia seek,qí
阆,"high door; high gate; high, lofty",láng
纨,"white silk, fine silk; gauze",wán
琮,octagonal piece of jade with hole in middle,cóng
牦,tail; hair; yak,máo
砩,,fú
蠲,"the millipede sometimes confounded with the grow-worm; bright, clear",juān
锒,lock,láng
锕,actinium (Ac),ā
郓,,yùn
妯,,zhóu
驷,team of four horses; horses,sì
鹩,wren,liáo
舢,sampan,shān
趸,sell or buy wholesale; store,dǔn
證,"proof, evidence; testify, verify",zhèng
養,"raise, rear, bring up; support",yǎng
芫,"daphne genkwa, poisonous plant",yán
嗉,,sù
蠊,,lián
笊,"ladle, bamboo skimmer",zhào
莸,caryopteris divaricata,yóu
饴,sweet-meats; sweet-cakes; syrup,yí
阃,,kǔn
浯,name of a river in Shandong,wú
枇,loquat,pí
焱,flames,yàn
铆,rivet,mǎo
擤,to blow the nose with fingers,xǐng
柢,"root, base; bottom of object",dǐ
醢,minced pickled meat; mince,hǎi
呲,give a talking-to,cī
崾,place name in Shanxi province,yǎo
溆,river in Hunan,xù
潴,pond; a pool,zhū
牖,window; lead enlightenment,yǒu
硪,,wò
碓,pestle,duì
鹆,myna; manah; Acridotheres tristis,yù
鬣,,liè
堀,"cave, hole",kū
帙,book cover; satchel or bag,zhì
雱,snowing heavily,pāng
須,"must, have to, necessary; moment; whiskers",xū
進,"advance, make progress, enter",jìn
诎,"bend, stoop, crouch; to yield",qū
獐,"roebuck, hornless river deer",zhāng
桁,cross-beams of roof,héng
蛱,kind of butterfly,jiá
鳏,huge fish; widower; bachelor,guān
郴,county in Hunan province; surname,chēn
幂,"cover-cloth, cover with cloth",mì
箝,"tweezers, pliers, tongs, pincers",qián
僳,minority name,sù
疝,"hernia, rupture",shàn
茴,"fennel, aniseed",huí
揶,"make fun of, ridicule",yé
